시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 강남구 개포동,13-3,13,3,대청타워,32.44,202210,13,"20,650",5,1997,개포로 623,,직거래,-
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,44.46,202210,14,"41,700",16,2004,선릉로86길 31,,중개거래,서울 강남구
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌,33.02,202210,31,"26,000",4,2004,테헤란로64길 9,,중개거래,서울 강남구
서울특별시 강남구 삼성동,158-4,158,4,삼성역 두산위브센티움,23.29,202210,6,"21,000",4,2003,테헤란로83길 14,,중개거래,서울 강남구
서울특별시 강남구 세곡동,587,587,0,강남 지웰파인즈,24.66,202210,4,"22,900",7,2016,헌릉로569길 9,,중개거래,서울 강남구
서울특별시 강남구 수서동,716,716,0,사이룩스,42.13,202210,19,"29,000",17,2003,광평로 295,,중개거래,서울 강남구
서울특별시 강남구 역삼동,647-5,647,5,(647-5),26.59,202210,7,"48,128",8,2020,테헤란로13길 8-7,,직거래,-
서울특별시 강남구 역삼동,832-16,832,16,BIEL 106,28.87,202210,14,"41,400",13,2018,역삼로 106,,중개거래,서울 강남구
서울특별시 강남구 역삼동,837-18,837,18,강남역 서희스타힐스 오피스텔,31.5,202210,12,"26,500",7,2012,도곡로3길 19,,중개거래,서울 강남구
서울특별시 강남구 역삼동,825-20,825,20,강남역 센트럴 푸르지오 시티,23.23,202210,8,"31,500",7,2015, ,,중개거래,서울 강남구
서울특별시 강남구 역삼동,825-20,825,20,강남역 센트럴 푸르지오 시티,24.63,202210,22,"32,000",12,2015, ,,중개거래,서울 강남구
서울특별시 강남구 역삼동,825-24,825,24,강남역 효성해링턴 타워 더퍼스트,22.85,202210,28,"26,800",5,2014,강남대로84길 15,,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-49,824,49,강남역투웨니퍼스트102동,17.34,202210,2,"28,000",6,2019,테헤란로6길 18,,중개거래,서울 강남구
서울특별시 강남구 역삼동,708-20,708,20,금천빌딩,29.81,202210,7,"23,000",7,2005,테헤란로52길 15,,중개거래,서울 강남구
서울특별시 강남구 역삼동,708-16,708,16,능현오피스텔,29.6,202210,6,"23,700",2,2004,선릉로89길 16,,중개거래,서울 강남구
서울특별시 강남구 역삼동,708-16,708,16,능현오피스텔,29.65,202210,21,"24,000",14,2004,선릉로89길 16,,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,38.96,202210,18,"28,500",5,2004,강남대로84길 33,,중개거래,서울 강남구
서울특별시 강남구 역삼동,707-1,707,1,두꺼비빌딩,25.92,202210,26,"19,000",11,1990,테헤란로 310,,직거래,-
서울특별시 강남구 역삼동,824-12,824,12,메가시티오피스텔,34.01,202210,10,"29,000",12,2002,테헤란로4길 15,,중개거래,서울 강남구
서울특별시 강남구 역삼동,736-22,736,22,메이플라워멤버스빌오피스텔,20.1,202210,11,"15,800",3,2006,테헤란로20길 15,,중개거래,서울 강남구
서울특별시 강남구 역삼동,736-22,736,22,메이플라워멤버스빌오피스텔,20.1,202210,11,"15,800",3,2006,테헤란로20길 15,,중개거래,서울 강남구
서울특별시 강남구 역삼동,822-7,822,7,목화밀라트,31.33,202210,12,"32,000",16,2004,테헤란로 113,20221031,중개거래,서울 강남구
서울특별시 강남구 역삼동,822-7,822,7,목화밀라트,31.33,202210,12,"32,000",16,2004,테헤란로 113,,중개거래,서울 강남구
서울특별시 강남구 역삼동,603-7,603,7,신논현 마에스트로,18.75,202210,11,"19,500",16,2013,봉은사로 140,,중개거래,서울 강남구
서울특별시 강남구 역삼동,603-7,603,7,신논현 마에스트로,20.35,202210,29,"20,500",12,2013,봉은사로 140,,중개거래,서울 강남구
서울특별시 강남구 역삼동,708-26,708,26,에스케이허브 오피스텔,37.36,202210,8,"35,500",11,2004,선릉로 431,,중개거래,서울 강남구
서울특별시 강남구 역삼동,736-24,736,24,엘지역삼에클라트,28.64,202210,1,"22,800",7,2004,테헤란로20길 19,,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-13,824,13,예성I라이프,24.66,202210,13,"19,300",9,2004,테헤란로4길 13,,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-13,824,13,예성I라이프,24.66,202210,14,"21,000",13,2004,테헤란로4길 13,,중개거래,서울 강남구
서울특별시 강남구 자곡동,596,596,0,강남 더샵라르고,21.12,202210,31,"17,950",10,2014,자곡로 201,,중개거래,서울 강남구
서울특별시 강남구 자곡동,662,662,0,강남 지웰홈스,25.16,202210,14,"19,000",7,2014,자곡로 204-5,,중개거래,서울 강남구
서울특별시 강남구 자곡동,600,600,0,강남 푸르지오시티 1차,25.06,202210,8,"19,000",6,2014,자곡로 191,,중개거래,서울 강남구
서울특별시 강남구 자곡동,670,670,0,강남센터뷰,32.23,202210,1,"32,700",6,2018, ,,중개거래,서울 강남구
서울특별시 강남구 청담동,91-2,91,2,아노블리81,58.13,202210,14,"149,000",8,2018,도산대로 419,,중개거래,서울 강남구
서울특별시 강동구 강일동,675-3,675,3,강일임페리얼타워,28.66,202210,22,"11,000",10,2013,아리수로93길 19,,중개거래,서울 강동구
서울특별시 강동구 길동,386-8,386,8,(386-8),33.2,202210,1,"13,500",2,1990,천중로40길 78,,중개거래,서울 강동구
서울특별시 강동구 길동,454-1,454,1,일성하이츠오피스텔,22.77,202210,5,"8,100",13,1993,천호대로 1121,,중개거래,서울 강동구
서울특별시 강동구 명일동,46-2,46,2,고덕역 효성해링턴 타워 더퍼스트,19.16,202210,5,"19,000",5,2020,고덕로 262,,중개거래,서울 강동구
서울특별시 강동구 천호동,414,414,0,두산위브센티움,31.37,202210,12,"15,500",22,2004,올림픽로70길 61,,중개거래,서울 강동구
서울특별시 강동구 천호동,414,414,0,두산위브센티움,31.37,202210,28,"16,000",22,2004,올림픽로70길 61,,중개거래,서울 강동구
서울특별시 강동구 천호동,165-1,165,1,선경오피스텔,20.65,202210,25,"10,000",3,2002,진황도로29길 8,,중개거래,서울 강동구
서울특별시 강동구 천호동,432-10,432,10,쌍용플래티넘리버,33.45,202210,1,"19,800",13,2004,올림픽로 659,,중개거래,서울 강동구
서울특별시 강동구 천호동,451-20,451,20,오피스텔 트레벨,31.95,202210,6,"16,500",13,2003,천호대로 1057,,중개거래,서울 강동구
서울특별시 강동구 천호동,451,451,0,이안 강동 컴홈스테이,23.75,202210,2,"30,000",24,2021,천호대로 1053,,중개거래,서울 강동구
서울특별시 강동구 천호동,425-3,425,3,천호역 한강 푸르지오시티,25.24,202210,5,"17,400",34,2015,구천면로 192,,직거래,-
서울특별시 강동구 천호동,425-3,425,3,천호역 한강 푸르지오시티,25.24,202210,13,"19,400",35,2015,구천면로 192,,중개거래,서울 강동구
서울특별시 강동구 천호동,425-3,425,3,천호역 한강 푸르지오시티,26.61,202210,14,"19,000",32,2015,구천면로 192,,중개거래,서울 강동구
서울특별시 강동구 천호동,164-70,164,70,하이브2,23.4,202210,25,"14,700",5,2013,천호대로167길 26,,중개거래,서울 강동구
서울특별시 강동구 천호동,449-49,449,49,힐탑프라자,20.48,202210,24,"9,700",7,1994,천호대로 1073,,중개거래,서울 강동구
서울특별시 강북구 번동,446-13,446,13,가든타워오피스텔,36.9,202210,17,"15,800",11,1991,도봉로 328,,중개거래,서울 강북구
서울특별시 강북구 수유동,95-7,95,7,수유동이테크밸리오피스텔,34.23,202210,7,"11,400",6,2005,도봉로77길 6,,중개거래,서울 강북구
서울특별시 강북구 수유동,230-7,230,7,효성 인텔리안 오피스텔,28.82,202210,20,"11,600",9,2005,도봉로 313,,중개거래,서울 도봉구
서울특별시 강서구 가양동,448-11,448,11,가양글로벌퍼스트,28.12,202210,14,"28,300",5,2018,화곡로72길 62,,중개거래,서울 강서구
서울특별시 강서구 가양동,1479-8,1479,8,동양 트레벨 스카이 오피스텔,24.36,202210,25,"10,700",13,2003,양천로57길 9-19,,중개거래,서울 강서구
서울특별시 강서구 가양동,1479-9,1479,9,휴먼빌,25.64,202210,8,"11,000",13,2004,양천로57길 9-13,,중개거래,서울 강서구
서울특별시 강서구 공항동,49-1,49,1,이스카이오피스텔,24.57,202210,21,"12,000",9,2011,공항대로 18-1,,중개거래,서울 강서구
서울특별시 강서구 등촌동,78-7,78,7,길훈엔트런스빌,27.29,202210,5,"16,000",12,2004,양천로 492,,직거래,-
서울특별시 강서구 등촌동,684-3,684,3,대룡드림타워-1,31.3,202210,1,"15,900",3,2004,강서로 462,,중개거래,서울 강서구
서울특별시 강서구 등촌동,642-2,642,2,신도그랑피아오피스텔,46.93,202210,22,"22,600",5,2003,공항대로53가길 49,,중개거래,서울 강서구
서울특별시 강서구 등촌동,628-18,628,18,트라비하우스,57.76,202210,7,"37,000",10,2005,화곡로68길 47,,중개거래,서울 강서구
서울특별시 강서구 등촌동,628-13,628,13,현대프린스텔,22.78,202210,8,"9,390",5,1999,양천로 510,,중개거래,서울 강서구
서울특별시 강서구 마곡동,776,776,0,마곡 파크뷰 대방디엠시티 오피스텔,26.68,202210,14,"25,000",10,2019,마곡동로10길 23,,중개거래,서울 강서구
